,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
1695,NHL 18,Sports,EA Canada,Electronic Arts,"Sep 15, 2017","Sep 15, 2017","Sep 15, 2017",P
1696,NHL 19,Sports,EA Canada,Electronic Arts,"Sep 14, 2018","Sep 14, 2018","Sep 14, 2018",P
1697,NHL 20,Sports,EA Canada,Electronic Arts,"Sep 13, 2019","Sep 13, 2019","Sep 13, 2019",P
1698,NHL 21,Sports,EA Canada,Electronic Arts,"Oct 16, 2020","Oct 16, 2020","Oct 16, 2020",P
1699,Nickelodeon Kart Racers,Kart racing,Bamtang Games,GameMill Entertainment,Unreleased,"Oct 23, 2018","Oct 23, 2018",
1700,Nickelodeon Kart Racers 2: Grand Prix,Kart racing,Bamtang Games,GameMill Entertainment,"Oct 30, 2020","Oct 6, 2020","Oct 6, 2020",P
1701,Nicole,"Role-playing
simulation",WinterWolves Games,Ratalaika Games,Unreleased,"Jul 29, 2020","Jul 28, 2020",
1702,Nidhogg,Fighting,Messhof,Messhof,"Feb 9, 2017","Oct 14, 2014","Oct 14, 2014",CP
1703,Nidhogg 2,Fighting,Messhof,Messhof,"Oct 6, 2017","Aug 15, 2017","Aug 15, 2017",P
1704,Nier: Automata,"Action role-playing
hack and slash",PlatinumGames,Square Enix,"Feb 23, 2017","Mar 7, 2017","Mar 7, 2017",P
1705,Nier Replicant ver.1.22474487139...,"Action role-playing
hack and slash",Toylogic,Square Enix,"Apr 22, 2021","Apr 23, 2021","Apr 23, 2021",
1706,Night in the Woods,Adventure,Finji Games,Finji Games,"Mar 28, 2019","Jan 10, 2017","Jan 10, 2017",
1707,Nightmare Boy,Metroidvania,The Vanir Project,Badland Games,"Oct 24, 2017","Oct 24, 2017","Oct 24, 2017",
1708,Nightmares from the Deep: The Cursed Heart,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Aug 2, 2016","Aug 2, 2016",
1709,Nightmares from the Deep 2: The Siren's Call,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Mar 28, 2017","Mar 28, 2017",
1710,Nightmares from the Deep 3: Davy Jones,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Feb 2, 2018","Feb 2, 2018",
1711,Nights of Azure,Role-playing,Gust Co. Ltd.,Tecmo Koei,"Oct 1, 2015","Apr 1, 2016","Mar 29, 2016",
1712,Nights of Azure 2: Bride of the New Moon,Role-playing,Gust,Tecmo Koei,"Aug 31, 2017","Oct 27, 2017","Oct 24, 2017",P
1713,Night Trap: 25th Anniversary Edition,Interactive movie,Screaming Villains,Screaming Villains,Unreleased,"Aug 11, 2017","Aug 15, 2017",
1714,Nine Parchments,Action,Frozenbyte,Frozenbyte,"Dec 5, 2017","Dec 5, 2017","Dec 5, 2017",
1715,Nine Witches: Family Disruption,Adventure,Indiesruption,Blowfish Studios,Unreleased,"Dec 4, 2020","Dec 4, 2020",
1716,Ni no Kuni: Wrath of the White Witch,Role-playing,Level-5,Bandai Namco,"Sep 20, 2019","Sep 20, 2019","Sep 20, 2019",P
1717,Ni no Kuni II: Revenant Kingdom,Role-playing,Level-5,Bandai Namco,"Mar 23, 2018","Mar 23, 2018","Mar 23, 2018",P
1718,Ninja JaJaMaru Collection,Assorted,Biccamera,City Connection,TBA,Unreleased,Unreleased,
1719,Ninja Shodown,Action,Rising Star Games,Rising Star Games,"Sep 26, 2017","Sep 26, 2017","Sep 26, 2017",
1720,Ninja Village,"Simulation
strategy",Kairosoft,Kairosoft,"Oct 29, 2020","Oct 30, 2020",Unreleased,
1721,Nioh,Action role-playing,Koei Tecmo,Sony Interactive Entertainment,"Feb 9, 2017","Feb 8, 2017","Feb 7, 2017",P
1722,Nioh 2,Action role-playing,Team Ninja,Koei Tecmo,"Mar 13, 2020","Mar 13, 2020","Mar 13, 2020",P
1723,The Ninja Saviors: Return of the Warriors,Beat 'em up,Taito,"JP: M2
WW: Inin Games","Jul 25, 2019","Aug 30, 2019","Aug 30, 2019",
1724,Nitroplus Blasterz: Heroines Infinite Duel,Fighting,Examu,Xseed Games,"Dec 10, 2015","Apr 7, 2016","Feb 2, 2016",CP
1725,Nobunaga's Ambition: Sphere of Influence,Tactical role-playing,Tecmo Koei,Tecmo Koei,"Feb 22, 2014","Sep 4, 2015","Sep 1, 2015",
1726,Nobunaga's Ambition: Taishi,Tactical role-playing,Tecmo Koei,Tecmo Koei,"Nov 30, 2017","Jul 6, 2018","Jul 3, 2018",
1727,Noel The Mortal Fate,Adventure,Kawano,Playism,2020,Unreleased,Unreleased,
1728,No Heroes Here,Tower defense,Mad Mimic,Mad Mimic,"May 31, 2018",Unreleased,"May 29, 2019",
1729,Noir Chronicles: City of Crime,"Puzzle
hidden object",Brave Giant,Artifex Mundi,Unreleased,"Nov 9, 2018","Nov 9, 2018",
1730,No Man's Sky,Action-adventure,Hello Games,Hello Games,"Aug 25, 2016","Aug 10, 2016","Aug 9, 2016",CP P VR
1731,Nom Nom Galaxy,Platform,Q-Games,Double Eleven,"Jul 1, 2015","May 14, 2015","May 12, 2015",
1732,Northgard,Real-time strategy,Shiro Games,Shiro Games,Unreleased,"Sep 26, 2019","Sep 26, 2019",
1733,No Straight Roads,"Action-adventure
rhythm",Metronomik,Sold Out,"Aug 27, 2020","Aug 25, 2020","Aug 25, 2020",
1734,Not a Hero,Shooter,Roll7,Devolver Digital,"Feb 2, 2016","Feb 2, 2016","Feb 2, 2016",
1735,No Time to Explain,Platform,tinyBuild,tinyBuild,"Mar 29, 2016","Mar 29, 2016","Mar 29, 2016",
1736,Nova-111,"Puzzle, turn-based",Funktronic Labs,Curve Digital,"Aug 25, 2015","Aug 25, 2015","Aug 25, 2015",
1737,Nowhere Prophet,Roguelike deck-building,Sharkbomb Studios,No More Robots,Unreleased,"Jul 30, 2020","Jul 30, 2020",
1738,Nuclear Throne,"Action, roguelike",Vlambeer,Vlambeer,"Dec 5, 2015","Dec 5, 2015","Dec 5, 2015",
1739,Null Drifter,Shoot 'em-up,Panda Indie Studio,EastAsiaSoft,"Apr 8, 2020","Apr 8, 2020","Apr 7, 2020",
1740,Numantia,Turn-based strategy,Reco Technology,Reco Technology,"Oct 25, 2017","Oct 25, 2017","Oct 25, 2017",
1741,Obduction,"Adventure, puzzle",Cyan Worlds,Cyan Worlds,"Jun 28, 2018","Aug 29, 2017","Aug 29, 2017",P VR
1742,Obliteracers,Vehicular combat,Space Dust Studios,Space Dust Studios,Unreleased,"Jul 20, 2016","Jul 20, 2016",
1743,Observation,"Adventure
horror
puzzle",No Code,Devolver Digital,"Sep 5, 2019","May 21, 2019","May 21, 2019",
1744,Observer,Horror,Bloober Team,Aspyr,"Aug 16, 2017","Aug 15, 2017","Aug 15, 2017",
1745,Occultic;Nine,Visual novel,5pb.,Mages,"Nov 9, 2017",Unreleased,Unreleased,
1746,Oceanhorn: Monster of Uncharted Seas,Adventure,Cornfox & Bros. / Engine Software,FDG Entertainment,Unreleased,"Sep 7, 2016","Sep 7, 2016",
1747,Octodad: Dadliest Catch,"Simulation, strategy",Young Horses,Young Horses,"Aug 28, 2015","Apr 23, 2014","Apr 22, 2014",M
1748,Odallus: The Dark Call,"Action
platform",Joymasher,Digerati,"Mar 27, 2020","Mar 25, 2020","Mar 24, 2020",
1749,Oddworld: New 'n' Tasty!,"Action
platform",Just Add Water,Oddworld Inhabitants,"Mar 4, 2015","Jul 23, 2014","Jul 22, 2014",
1750,Odin Sphere: Leifthrasir,Action role-playing,Vanillaware,Atlus,"Jan 14, 2016","Jun 24, 2016","Jun 7, 2016",
1751,"<span data-sort-value=""Office Quest !"">The Office Quest",Point & click adventure,11 Sheep,11 Sheep,Unreleased,"Jun 3, 2020","Aug 12, 2020",
1752,Oh My Godheads,Fighting,Titutitech,Square Enix,Unreleased,"Dec 5, 2017","Dec 5, 2017",
1753,OK K.O.! Let's Play Heroes,Action,Capybara Games,Cartoon Network,Unreleased,"Jan 23, 2018","Jan 23, 2018",
1754,Ōkami HD,Action-adventure,Capcom,Capcom,"Dec 12, 2017","Dec 12, 2017","Dec 12, 2017",P
1755,OkunoKA Madness,Platform,Caracal Games,Ignition,Unreleased,"Sep 8, 2020","Sep 8, 2020",
1756,Old Man's Journey,"Adventure
puzzle",Broken Rules,Broken Rules,"Jun 6, 2018","May 29, 2018","May 29, 2018",
1757,OlliOlli,"Sports
side-scroller",Roll7,Roll7,"Sep 24, 2014","Aug 27, 2014","Aug 26, 2014",
1758,OlliOlli2: Welcome to Olliwood,"Sports
side-scroller",Roll7,Roll7,"Apr 1, 2015","Mar 4, 2015","Mar 3, 2015",
1759,Omega Quintet,Role-playing,Compile Heart,Compile Heart,"Oct 2, 2014","May 1, 2015","Apr 28, 2015",C M
1760,Omensight,Action role-playing,Spearhead Games,Spearhead Games,Unreleased,"May 15, 2019","May 18, 2019",
1761,One Finger Death Punch 2,Brawler,Silver Dollar Games,EastAsiaSoft,"Sep 30, 2020","Sep 30, 2020","Sep 30, 2020",
1762,Onechanbara Origin,"Action
hack and slash",Tamsoft,D3 Publisher,"Dec 5, 2019","Oct 14, 2020","Oct 14, 2020",
1763,Onechanbara Z2: Chaos,"Action
hack and slash",Tamsoft,D3 Publisher,"Oct 30, 2014","Aug 28, 2015","Jul 21, 2015",
1764,One More Dungeon,Role-playing,Ratalaika Games,Ratalaika Games,"Dec 21, 2017","Dec 13, 2017","Dec 12, 2017",
1765,One Night Stand,Visual novel,Kinmoku,Ratalaika Games,Unreleased,"Oct 2, 2019","Oct 1, 2019",
1766,One Piece: Burning Blood,Fighting,Spike Chunsoft,Bandai Namco Entertainment,"Apr 16, 2016","Jun 3, 2016","May 31, 2016",
1767,One Piece: Pirate Warriors 3,Action,Koei Tecmo,Bandai Namco Entertainment,"Mar 26, 2015","Aug 28, 2015","Aug 25, 2015",
1768,One Piece: Pirate Warriors 4,Platform,"Omega Force
Koei Tecmo",Bandai Namco Entertainment,"Mar 26, 2020","Mar 27, 2020","Mar 27, 2020",
1769,One Piece: Unlimited World Red Deluxe Edition,Action-adventure,Tecmo Koei,Bandai Namco Entertainment,"Aug 24, 2017","Aug 25, 2017","Aug 25, 2017",
1770,One Piece: World Seeker,Action-adventure,Ganbarion,Bandai Namco Entertainment,"Mar 14, 2019","Mar 15, 2019","Mar 15, 2019",
1771,One-Punch Man: A Hero Nobody Knows,Fighting,Spike Chunsoft,Bandai Namco,"Feb 27, 2020","Feb 28, 2020","Feb 28, 2020",
1772,One Step From Eden,"Strategy
roguelike",Thomas Moon Kang,Humble Bundle,"Jun 26, 2020","Jun 6, 2020","Jun 6, 2020",
1773,One Upon Light,Puzzle,SUTD Game Lab,Rising Star Games,"Feb 24, 2015","Oct 13, 2015","Oct 13, 2015",
1774,Oniken,"Action
platform",Joymasher,Digerati,"Mar 27, 2020","Mar 25, 2020","Mar 24, 2020",
1775,Onimusha: Warlords,Action-adventure,Capcom,Capcom,"Dec 20, 2018","Jan 15, 2019","Jan 15, 2019",
1776,Oninaki,Action role-playing,Tokyo RPG Factory,Square Enix,"Aug 22, 2019","Aug 22, 2019","Aug 22, 2019",
1777,Onrush,Racing,Codemasters,Codemasters,Unreleased,"Jun 5, 2018","Jun 5, 2018",P
1778,Operencia: The Stolen Sun,Role-playing,Zen Studios,Zen Studios,Unreleased,"Mar 31, 2020","Mar 31, 2020",
1779,Orangeblood,Role-playing,Grayfax Software,Playism,"Oct 1, 2020","Oct 1, 2020","Oct 1, 2020",
1780,Ord.,Adventure,Mujo Games,Ratalaika Games,"Nov 5, 2020","Nov 4, 2020","Nov 3, 2020",
1781,The Order: 1886,Third-person shooter,Ready at Dawn / SCE Santa Monica Studio,Sony Computer Entertainment,"Feb 20, 2015","Feb 20, 2015","Feb 20, 2015",
1782,Organ Trail,"Simulation, survival",The Men Who Wear Many Hats,The Men Who Wear Many Hats,Unreleased,"Jul 19, 2016","Oct 20, 2015",
1783,Organic Panic,"Platform, strategy",Last Limb,Last Limb,Unreleased,"Mar 29, 2016","Mar 29, 2016",
1784,"<span data-sort-value=""Origin Blind !"">The Origin: Blind Maid",Survival horror,Warani Studios,Badland Publishing,Unreleased,2021,2021,
1785,The Oriental Exorcist,"2D
action
side-scroller",Wildfire Games,Bilibili,TBA,TBA,TBA,
1786,Othercide,Tactical role-playing,Lightbulb Crew,Focus Home Interactive,Unreleased,"Jul 28, 2020","Jul 28, 2020",
1787,Oure,Adventure,Heavy Specture,Heavy Specture,"Nov 1, 2017","Oct 30, 2017","Oct 30, 2017",
1788,Our World is Ended,Visual novel,Red Entertainment,"JP: Mages
WW: PQube","Feb 28, 2019","Apr 18, 2019","Apr 18, 2019",
1789,Outer Wilds,First-person adventure,Mobius Digital,Annapurna Interactive,"Oct 25, 2019","Oct 15, 2019","Oct 15, 2019",
1790,The Outer Worlds,Action role-playing,Obsidian Entertainment,Private Division,"Oct 25, 2019","Oct 25, 2019","Oct 25, 2019",
1791,Outlast,Survival horror,Red Barrels Studio,Red Barrels Studio,Unreleased,"Feb 5, 2014","Feb 4, 2014",
1792,Outlast 2,Survival horror,Red Barrels Studio,Red Barrels Studio,Unreleased,"Apr 25, 2017","Apr 25, 2017",P
1793,Outriders,Third-person shooter,People Can Fly,Square Enix,"Feb 1, 2021","Feb 2, 2021","Feb 2, 2021",P
1794,Outward: The Adventurer Life Sim,Role-playing,Koch Media,Nine Dots Studio,Unreleased,"Mar 26, 2019","Mar 26, 2019",
1795,Overcooked,"Party, puzzle",Ghost Town Games,Team17,Unreleased,"Aug 3, 2016","Aug 3, 2016",
1796,Overcooked 2,"Party, puzzle",Ghost Town Games,Team17,"Aug 7, 2018","Aug 7, 2018","Aug 7, 2018",
1797,Overland,"Turn-based tactics
survival","Finji
Deep Plaid Games",Finji,Unreleased,"Sep 19, 2019","Sep 19, 2019",
1798,Overload,First-person shooter,Revival Productions,Revival Productions,Unreleased,"Oct 16, 2018","Oct 24, 2018",
1799,Overlord: Fellowship of Evil,Action role-playing,Codemasters,Codemasters,Unreleased,"Oct 20, 2015","Oct 20, 2015",
1800,Override: Mech City Brawl,Beat 'em up,"The Balance, Inc","JP: 3goo
WW: Modus Games","Apr 18, 2019","Dec 4, 2018","Dec 4, 2018",
1801,Override 2: Super Mech League,Beat 'em up,Modus Studios Brazil,Modus Games,Unreleased,"Dec 22, 2020","Dec 22, 2020",
1802,Overruled!,Brawler,Dlala Studios,Team17,Unreleased,"Sep 18, 2015","Sep 15, 2015",
1803,Overwatch,First-person shooter,Blizzard Entertainment,Blizzard Entertainment,"May 24, 2016","May 24, 2016","May 24, 2016",P
1804,Overwatch 2,First-person shooter,Blizzard Entertainment,Blizzard Entertainment,TBA,TBA,TBA,P
1805,Ovivo,Platform,Izhard,Sometimes You,Unreleased,"Jul 3, 2019","Jul 3, 2019",P
1806,Owlboy,Platform-adventure,D-Pad Studio,D-Pad Studio,"Feb 13, 2017","Feb 13, 2017","Feb 13, 2017",
1807,Oxenfree,Adventure,Night School,Night School,Unreleased,"May 31, 2016","May 31, 2016",
1808,Pacer,Racing,R8 Games,R8 Games,Unreleased,"Oct 28, 2020","Oct 28, 2020",
1809,Pac-Man 256,Arcade,Hipster Whale,Bandai Namco Entertainment,"Jun 21, 2016","Jun 21, 2016","Jun 21, 2016",
1810,Pac-Man Championship Edition 2,Arcade,Bandai Namco Entertainment,Bandai Namco Entertainment,"Sep 13, 2016","Sep 13, 2016","Sep 13, 2016",
1811,Pang Adventures,"Platform
puzzle",Pastagames,DotEmu,Unreleased,"Apr 19, 2016","Apr 19, 2016",
1812,Pankapu,"Adventure
platform",Too Kind Studio,Plug In Digital,Unreleased,"Sep 20, 2017","Sep 19, 2017",
1813,Panzer Dragoon: Remake,Rail shooter,MegaPixel Studio,Forever Entertainment,Unreleased,"Sep 28, 2020","Sep 28, 2020",
1814,Paper Beast,Adventure,Pixel Reef,Pixel Reef,Unreleased,"Mar 24, 2020","Mar 24, 2020",P VR
1815,Paranautical Activity,"Platform
puzzle",CodeAvarice,Digerati,"Dec 21, 2016","Jun 1, 2016","May 31, 2016",
1816,Paranoia: Happiness is Mandatory,Role-playing,"Black Shamrock
Cyanide Studio",Bigben Interactive,TBA,TBA,TBA,
1817,PaRappa the Rapper Remastered,Rhythm,NanaOn-Sha,Sony Interactive Entertainment,"Apr 20, 2017","Apr 4, 2017","Apr 4, 2017",P
1818,The Park,Horror,Funcom,Funcom,"May 3, 2016","May 3, 2016","May 3, 2016",
1819,Party Animals,Party,Recreate Games,Recreate Games,Unreleased,2020,2020,
1820,Party Crashers,Racing,Giant Margarita,Giant Margarita,Unreleased,"Oct 4, 2018","Oct 4, 2018",
1821,Party Crasher Simulator,Simulation,Glob Games Studio,Glob Games Studio,2021,2021,2021,
1822,Party Golf,Party,Giant Margarita,Giant Margarita,Unreleased,"Oct 4, 2016","Oct 26, 2016",
1823,Party Hard,"Action
stealth",Pinokl Games,TinyBuild,Unreleased,"Apr 26, 2016","Apr 26, 2016",
1824,Party Hard 2,"Action
stealth",Pinokl Games,TinyBuild,Unreleased,"Apr 26, 2016","Apr 26, 2016",
1825,Party Panic,Party,Everglow Interactive,Everglow Interactive,Unreleased,"Aug 21, 2020","Aug 21, 2020",
1826,Patapon Remastered,"Rhythm
god game",SCE Japan Studio,Sony Interactive Entertainment,"Aug 1, 2017","Aug 1, 2017","Aug 1, 2017",P
1827,Patapon 2 Remastered,"Rhythm
god game",SCE Japan Studio,Sony Interactive Entertainment,"Jan 30, 2020","Jan 30, 2020","Jan 30, 2020",P
1828,Pathfinder: Kingmaker,Role-playing,Owlcat Games,Deep Silver,Unreleased,"Aug 18, 2020","Aug 18, 2020",
1829,The Pathless,Action-adventure,Giant Squid,Annapurna Interactive,TBA,"Nov 12, 2020","Nov 12, 2020",
1830,Path of Sin: Greed,"Puzzle
hidden object",Cordelia Games,Artifex Mundi,Unreleased,"Aug 20, 2019","Aug 20, 2019",
1831,Pathologic,"Adventure
survival",Ice-Pick Lodge,Ice-Pick Lodge,TBA,TBA,TBA,
1832,Pato Box,"Action
sports",Bromio,Bromio,"May 16, 2019",Unreleased,"Aug 28, 2018",
1833,Pawarumi,Shoot 'em up,Manufacture 43,Manufacture 43,"Feb 14, 2020","Jun 25, 2020","Feb 11, 2020",P
1834,Payday 2: Crimewave Edition,First-person shooter,Overkill Software,505 Games,Unreleased,"Jun 10, 2015","Jun 16, 2015",
1835,PC Building Simulator,Simulation,"Claudiu Kiss, TIC",The Irregular Corporation,Unreleased,"Aug 13, 2019","Aug 13, 2019",
1836,Peaky Blinders: Mastermind,Action-adventure,FuturLab,Curve Digital,Unreleased,"Aug 20, 2020","Aug 20, 2020",
1837,The Peanuts Movie: Snoopy's Grand Adventure,Platform,Beenox,Activision,Unreleased,"Nov 6, 2015","Nov 3, 2015",
1838,"<span data-sort-value=""Pedestrian !"">The Pedestrian",Puzzle platformer,Skookum Arts,Skookum Arts,Unreleased,Jan 2021,Jan 2021,
1839,Peggle 2,Puzzle,PopCap Games,Electronic Arts,"Oct 21, 2014","Oct 15, 2014","Oct 14, 2014",
1840,Penarium,Platform,Self Made Miracle,Team17,Unreleased,"Sep 22, 2015","Sep 22, 2015",
1841,Penguin Wars,Action,City Connection,City Connection,"Aug 1, 2019","Sep 25, 2018","Sep 25, 2018",
1842,Perception,"Adventure
horror",Deep End Games,Feardemic,Unreleased,"Jun 7, 2017","Jun 7, 2017",
1843,Perfect Universe,"Action
puzzle",Will Sykes Games,Will Sykes Games,"Nov 9, 2016","May 17, 2016","May 17, 2016",
1844,Persian Nights: Sands of Wonders,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Aug 17, 2018","Aug 17, 2018",
1845,The Persistence,First-person shooter,Firesprite,Firesprite,"Jan 21, 2019","Jul 24, 2018","Jul 24, 2018",VR
1846,Persona 3: Dancing Moon Night,Rhythm,P-Studio,Atlus,"May 24, 2018","Dec 4, 2018","Dec 4, 2018",
1847,Persona 4: Dancing All Night,Rhythm,P-Studio,Atlus,"May 24, 2018","Dec 4, 2018","Dec 4, 2018",
1848,Persona 5,Role-playing,P-Studio,Atlus,"Sep 15, 2016","Apr 4, 2017","Apr 4, 2017",
1849,Persona 5: Dancing Star Night,Rhythm,P-Studio,Atlus,"May 24, 2018","Dec 4, 2018","Dec 4, 2018",
1850,Persona 5 Royal,Role-playing,P-Studio,Atlus,"Oct 31, 2019","Mar 31, 2020","Mar 31, 2020",
1851,Persona 5 Scramble,Action role-playing,"Omega Force
P-Studio","JP: Atlus
WW: Koei Tecmo","Feb 20, 2020",TBA,TBA,P
1852,Petal Crash,Puzzle,Friend & Fairy,GalaxyTrail,Unreleased,2020,2020,
1853,PGA Tour 2K21,Sports,HB Studios,2K Games,"Aug 21, 2020","Aug 21, 2020","Aug 21, 2020",
1854,Phantom Breaker: Battle Grounds Overdrive,Beat 'em up,5pb.,5pb.,"Jul 21, 2015","Aug 17, 2015","Jul 23, 2015",
1855,Phantom Breaker: Omnia,Fighting,"GameLoop
Mages",Rocket Panda Games,2021,2021,2021,
1856,Phantom Doctrine,Turn-based strategy,CreativeForge Games,Good Shepherd Entertainment,Unreleased,"Aug 14, 2018","Aug 14, 2018",
1857,Phantom Trigger,Role-playing,Bread Team,tinyBuild,Unreleased,"Aug 10, 2017","Aug 10, 2017",
1858,Pharaonic,Action role-playing,Milkstone Studios,Milkstone Studios,Unreleased,"Jun 28, 2016","Jun 28, 2016",
1859,Phoenix Point,"Strategy
turn-based tactics",Snapshot Games,Snapshot Games,2020,2020,2020,
1860,Phoenix Wright: Ace Attorney Trilogy,Visual novel,Capcom,Capcom,Unreleased,"Apr 9, 2019","Apr 9, 2019",
1861,PHOGS!,"Adventure
puzzle-platformer",Bit Loom Games,Coatsink,Unreleased,"Dec 3, 2020","Dec 3, 2020",
1862,Pic-a-Pix Classic,"Nonogram
puzzle",Lightwood Games,Lightwood Games,Unreleased,"Feb 26, 2019","Feb 26, 2019",
1863,Pic-a-Pix Classic 2,"Nonogram
puzzle",Lightwood Games,Lightwood Games,Unreleased,"Nov 26, 2019","Nov 26, 2019",
1864,Pic-a-Pix Color,"Nonogram
puzzle",Lightwood Games,Lightwood Games,Unreleased,"Apr 25, 2018","Apr 24, 2018",
1865,Pic-a-Pix Color 2,"Nonogram
puzzle",Lightwood Games,Lightwood Games,Unreleased,"Jul 9, 2019","Jul 9, 2019",
1866,Pic-a-Pix Pieces,"Nonogram
puzzle",Lightwood Games,"JP: Rainy Frog
WW: Lightwood Games","Mar 20, 2019","Jan 8, 2019","Jan 8, 2019",
1867,Pic-a-Pix Pieces 2,"Nonogram
puzzle",Lightwood Games,Lightwood Games,Unreleased,"Jun 30, 2020","Jun 30, 2020",
1868,Pier Solar and the Great Architects,Role-playing,WaterMelon,WaterMelon,"Sep 30, 2014","Sep 30, 2014","Sep 30, 2014",
1869,Pig Eat Ball,"Arcade
puzzle",Mommy's Best Games,Mommy's Best Games,Unreleased,"Oct 18, 2019","Oct 18, 2019",
1870,Pillar,Puzzle,MichaelArts,MichaelArts,"Feb 17, 2015","Feb 17, 2015","Feb 17, 2015",
1871,Pillars of Eternity,Role-playing,Obsidian Entertainment,Paradox Interactive,"Aug 22, 2017","Aug 22, 2017","Aug 22, 2017",
1872,Pillars of Eternity II: Deadfire,Role-playing,Obsidian Entertainment,THQ Nordic,"Jan 28, 2020","Jan 28, 2020","Jan 28, 2020",
1873,The Pillars of the Earth,Adventure,Daedalic Entertainment,Daedalic Entertainment,Unreleased,"Aug 16, 2017","Aug 15, 2017",
1874,Pinstripe,"Adventure
puzzle",Atmos Games,Armor Games,"Sep 24, 2020","Feb 13, 2018","Feb 12, 2018",
1875,PixArk,Survival,Snail Games,Snail Games,"Jul 4, 2019","May 31, 2019","Jun 4, 2019",
1876,Pix the Cat,Arcade,Pasta Games,Pasta Games,"Oct 7, 2014","Oct 7, 2014","Oct 7, 2014",
1877,Pixel Piracy,Role-playing,"Abstraction Games
505 Games",Re-Logic,Unreleased,"Feb 17, 2016","Feb 16, 2016",
1878,PixelJunk Monsters 2,Tower defense,Q-Games,Spike Chunsoft,"May 25, 2018","May 25, 2018","May 25, 2018",
1879,PixelJunk Shooter Ultimate,Shooter,Double Eleven / Q-Games,Sony Computer Entertainment,"Jun 18, 2014","Jun 4, 2014","Jun 3, 2014",CP
1880,Pixel Noir,Role-playing,SWDTech Games,SWDTech Games,TBA,TBA,TBA,
1881,Plague Inc: Evolved,Strategy,Ndemic Creations,Ndemic Creations,"May 30, 2016","May 30, 2016","May 30, 2016",
1882,Planescape: Torment: Enhanced Edition,Role-playing,Beamdog,Skybound Games,Unreleased,"Sep 27, 2019","Sep 24, 2019",
1883,Planet Coaster: Console Edition,Construction and management simulation,Frontier Developments,Frontier Developments,2020,2020,2020,
1884,Planet of the Apes: Last Frontier,Interactive fiction,The Imaginati Studios,FoxNext,"Oct 8, 2019","Nov 21, 2017","Nov 21, 2017",PL
1885,Plants vs Zombies: Battle for Neighborville,Third-person shooter,PopCap Games,Electronic Arts,"Oct 18, 2019","Oct 18, 2019","Oct 18, 2019",
1886,Plants vs. Zombies: Garden Warfare,Third-person shooter,PopCap Games,Electronic Arts,"Sep 4, 2014","Aug 21, 2014","Aug 19, 2014",
1887,Plants vs. Zombies: Garden Warfare 2,Third-person shooter,PopCap Games,Electronic Arts,"Aug 24, 2016","Feb 23, 2016","Feb 23, 2016",
1888,PlayerUnknown's Battlegrounds,Battle royale,Bluehole,Bluehole,"Dec 7, 2018","Dec 7, 2018","Dec 7, 2018",CP P
